x,y,made
28.5,27.55,True
47.6,40.85,False
39.4,41.35,True
45.1,25.35,False
25.0,41.75,False
13.4,27.95,True
25.0,41.75,True
26.5,33.95,True
47.0,36.15,False
32.3,22.05,True
7.699999999999999,41.45,True
25.0,41.75,True
32.1,23.35,True
25.0,41.75,False
8.399999999999999,23.35,True
34.7,29.95,False
17.7,35.35,False
45.4,33.75,False
25.0,41.75,True
39.9,21.75,False
37.5,20.95,False
25.0,41.75,True
7.899999999999999,32.85,True
25.0,41.75,False
7.600000000000001,41.45,False
17.5,37.05,False
43.0,42.05,False
25.0,41.75,True
12.5,33.45,True
25.0,33.75,True
25.8,17.15,False
6.0,41.15,False
25.0,41.75,False
40.8,36.25,True
44.4,38.95,False
32.6,18.25,False
25.0,41.75,False
27.6,29.15,False
25.0,41.75,True
10.6,36.25,True
42.4,24.45,False
26.7,31.55,True
45.7,26.05,True
11.2,17.15,True
21.0,19.25,True
24.3,24.25,False
10.4,20.85,True
25.0,32.15,False
49.0,43.65,False
29.6,37.65,False
29.8,40.35,False
25.0,41.75,True
20.0,16.75,False
30.1,37.05,True
24.3,26.45,True
25.0,41.75,True
34.2,17.55,False
36.2,32.15,True
32.8,15.75,False
25.0,41.75,False
9.5,35.15,False
11.2,31.65,False
26.3,40.25,True
22.2,27.25,True
13.4,26.95,False
25.0,16.05,False
25.4,40.55,False
20.8,16.35,True
40.2,31.35,True
15.3,18.75,True
25.0,41.75,False
24.1,41.75,True
48.1,41.75,False
26.1,17.35,False
16.9,29.65,False
38.1,37.35,False
25.0,41.75,True
25.0,41.75,True
25.2,32.45,True
24.3,40.25,True
2.5,40.25,True
39.4,31.05,False
39.2,38.35,False
42.4,41.75,False
25.0,41.75,True
11.7,23.35,False
42.2,30.95,True
33.2,29.35,False
25.0,41.75,True
25.4,30.15,True
25.0,41.75,True
7.899999999999999,37.35,True
25.0,41.75,True
40.7,43.45,False
25.0,41.75,False
48.4,39.45,False
27.6,34.05,True
25.0,41.75,True
23.8,41.15,False
26.4,41.15,False
25.0,41.75,True
20.8,20.85,True
25.0,41.75,True
36.1,41.35,False
25.0,41.75,False
1.8999999999999986,40.35,True
12.6,34.35,True
13.6,19.35,False
25.0,41.75,False
10.7,40.65,False
33.4,38.95,False
8.0,41.95,False
25.0,39.45,False
39.1,32.15,False
25.0,41.75,False
25.0,41.75,True
14.8,0.6499999999999986,False
33.2,24.95,True
48.7,42.25,False
24.1,41.75,True
25.0,41.75,False
25.0,41.75,False
25.0,41.75,True
24.3,23.65,False
23.8,41.95,True
43.2,41.95,False
11.5,35.45,True
25.0,41.75,True
22.2,37.85,True
12.0,19.55,False
23.3,31.05,False
25.0,41.75,True
6.600000000000001,32.65,False
7.600000000000001,18.45,True
40.0,40.05,False
25.0,41.75,False
35.1,35.65,True
24.0,41.65,True
48.1,41.75,False
43.2,22.85,True
27.4,41.05,True
29.6,35.75,False
22.4,38.15,False
22.7,40.35,False
25.0,19.55,True
25.2,41.35,True
25.0,41.75,True
12.8,25.75,False
10.3,39.25,False
25.0,31.35,False
30.1,39.15,True
25.7,18.45,False
26.6,23.65,False
23.8,27.55,False
25.0,41.75,True
13.6,19.55,True
25.0,41.75,False
25.0,41.75,True
25.0,41.75,False
24.6,16.35,False
7.899999999999999,39.55,False
25.0,41.75,False
47.4,30.95,False
25.7,33.55,True
0.6000000000000014,36.55,False
22.9,16.35,True
43.0,43.95,False
9.6,30.45,False
31.8,36.25,False
26.1,20.45,True
23.0,40.25,True
2.0,41.65,False
48.4,43.05,False
14.0,26.65,True
25.0,41.75,False
25.0,43.05,True
35.6,32.35,False
29.5,38.15,False
2.1999999999999993,37.55,True
25.0,41.75,True
16.2,37.05,False
28.8,26.45,False
10.6,20.65,False
13.7,28.55,False
24.0,38.75,False
13.9,43.15,True
25.0,41.75,True
0.8999999999999986,41.75,False
27.9,37.05,True
1.6000000000000014,41.75,False
25.0,41.75,True
25.0,41.75,True
25.2,41.95,False
34.2,40.05,False
1.6000000000000014,41.75,False
38.4,28.05,True
25.0,41.75,True
33.1,17.95,True
9.3,32.65,False
23.2,36.15,False
25.0,41.75,False
24.6,41.65,True
23.2,41.65,True
18.6,38.15,False
27.9,21.75,False
25.0,26.05,True
25.0,41.75,False
25.0,41.75,True
25.0,41.75,False
32.3,27.25,False
25.0,41.75,False
25.0,41.75,True
15.5,23.05,False
44.8,30.25,True
20.0,40.85,False
25.0,41.75,True
32.8,25.05,False
3.0,31.25,False
25.0,41.75,True
43.7,42.85,True
25.0,41.75,True
19.1,39.45,False
49.2,40.35,False
25.0,41.75,True
25.0,41.75,False
48.9,41.95,False
24.9,41.75,True
10.7,20.35,False
9.8,27.95,False
48.5,41.75,True
48.1,35.75,True
25.0,41.75,True
32.9,37.65,False
25.0,41.45,True
21.4,37.25,False
33.9,25.85,False
25.7,42.05,True
34.3,16.35,True
28.0,38.65,False
10.6,20.35,True
25.0,41.75,True
25.0,41.75,True
7.300000000000001,39.45,False
24.4,23.35,False
37.0,41.05,False
19.1,40.55,False
25.0,41.75,True
33.1,27.25,True
21.4,25.25,False
12.5,42.25,True
25.0,41.75,False
25.0,41.75,True
25.0,41.75,False
38.0,29.65,False
26.5,39.55,False
45.7,32.95,False
36.2,37.85,True
25.0,40.35,True
25.2,40.25,False
11.2,29.05,False
14.7,38.35,False
8.7,42.05,True
38.0,26.35,True
38.1,32.15,True
31.5,37.55,False
45.1,40.55,False
35.6,38.35,True
16.6,27.75,False
30.9,36.75,False
1.6000000000000014,36.15,False
22.6,42.05,False
10.9,20.05,False
21.4,35.75,True
25.0,41.75,False
14.5,41.45,False
25.0,41.75,False
23.5,40.05,True
48.9,40.65,False
25.5,41.35,True
24.9,21.65,True
25.0,41.75,True
21.8,23.85,True
25.0,41.75,False
38.6,26.65,False
25.0,41.75,True
6.0,22.05,False
21.1,40.35,False
26.3,40.85,True
41.3,40.65,True
25.0,41.75,True
26.8,40.05,True
25.7,27.15,True
39.6,33.25,False
15.8,40.25,False
25.0,41.75,False
25.0,41.75,True
19.7,36.15,True
33.2,18.95,False
45.9,29.05,False
25.0,41.75,True
33.1,39.15,False
24.6,41.05,True
32.3,18.25,False
25.0,41.75,True
31.2,36.95,True
25.0,41.75,True
25.0,41.75,False
31.7,39.25,False
11.0,19.25,True
17.5,35.65,False
47.3,34.65,False
38.1,18.75,False
17.0,31.65,False
38.9,29.45,False
19.9,31.85,False
38.4,21.25,False
25.0,41.75,False
25.0,41.75,True
25.0,41.75,True
9.6,22.55,True
25.0,41.75,False
48.2,33.15,False
25.7,29.15,False
9.0,35.75,True
25.7,36.15,True
25.0,41.75,True
25.0,41.75,False
24.1,23.95,True
25.0,41.75,True
13.6,39.15,False
11.0,20.15,True
37.7,29.05,False
49.3,43.05,False
25.0,41.75,False
25.0,41.75,True
26.3,35.95,False
25.0,41.75,True
35.6,24.95,True
10.7,31.65,False
4.300000000000001,29.05,True
35.5,27.45,False
41.6,36.75,False
25.0,41.75,True
13.7,38.75,False
25.0,41.75,True
41.0,22.05,False
19.7,30.95,True
39.7,22.05,True
25.5,33.45,True
17.8,38.75,False
12.0,27.15,False
39.9,22.25,False
26.0,37.85,True
32.6,38.35,True
6.800000000000001,42.55,False
25.0,41.75,False
36.2,18.25,True
25.7,24.45,True
45.7,27.45,False
22.1,33.25,False
40.3,33.75,True
23.0,40.25,True
41.1,18.75,True
20.7,22.25,False
15.5,37.05,False
25.0,41.75,False
35.3,37.85,True
25.0,41.75,False
25.0,41.75,True
40.0,20.15,True
36.1,32.45,True
25.0,41.75,False
28.2,29.85,False
42.4,31.55,True
25.5,28.35,True
37.7,19.55,True
16.2,22.05,False
10.6,35.65,False
23.7,35.65,True
24.9,40.55,True
11.2,18.45,False
28.4,35.65,False
24.3,41.05,True
25.0,41.75,False
25.0,41.75,True
25.7,37.35,True
32.0,17.35,True
25.0,41.75,False
28.7,37.85,True
2.1999999999999993,41.15,False
25.0,41.75,False
25.0,41.75,True
9.6,22.25,False
24.8,41.75,True
48.1,37.35,True
25.2,33.15,False
13.4,39.45,False
5.800000000000001,39.85,True
9.6,32.05,False
38.9,26.15,False
32.3,22.55,False
8.2,35.75,False
25.0,41.75,True
25.0,41.75,False
25.0,41.75,True
25.0,41.75,False
41.0,23.95,True
14.5,28.05,False
48.4,36.45,False
24.6,41.45,True
45.5,39.85,False
45.7,27.45,False
48.4,40.25,True
26.9,36.45,True
38.1,19.55,True
40.3,34.05,False
25.0,41.75,False
25.0,41.75,False
30.4,37.55,True
16.2,37.85,False
25.0,41.75,True
25.0,41.75,True
37.7,19.35,False
8.2,21.45,True
24.4,40.55,True
41.3,21.95,True
12.6,32.35,False
26.8,40.05,False
49.3,36.15,True
20.7,39.85,True
25.0,41.75,False
25.5,40.65,False
25.0,41.75,True
42.2,23.85,False
26.0,35.95,False
35.5,39.75,True
36.4,23.95,True
11.8,39.85,False
25.0,41.75,False
9.8,34.25,False
37.8,23.85,True
10.1,20.15,True
25.0,41.75,False
25.0,41.75,True
14.0,29.95,True
47.8,42.55,False
46.0,42.35,True
20.2,36.25,True
26.8,30.15,True
25.0,41.75,False
41.0,22.25,True
40.3,23.45,False
25.0,41.75,True
25.0,41.75,False
25.4,41.95,True
29.8,30.95,False
20.7,39.75,False
38.9,34.55,True
24.3,42.05,False
25.0,41.75,True
40.0,44.15,True
41.1,31.25,False
48.5,40.85,True
38.6,21.45,False
1.8999999999999986,41.15,True
25.0,41.75,False
25.0,41.75,False
25.0,41.75,True
25.0,41.75,True
25.0,41.75,True
39.7,41.95,True
2.0,39.45,False
26.3,41.15,True
36.7,37.85,False
25.0,41.75,True
12.8,34.35,True
13.7,20.35,False
22.4,15.75,True
24.9,31.35,False
25.0,41.75,False
27.6,40.85,True
39.1,39.15,False
38.6,38.15,True
25.0,41.75,True
25.0,41.75,True
24.4,36.75,False
25.0,41.75,True
11.5,26.35,False
12.6,26.35,True
17.3,43.65,True
25.0,41.75,True
27.9,25.55,True
29.5,30.25,False
28.7,41.75,False
14.4,38.45,False
21.6,14.850000000000001,False
25.0,41.75,True
30.7,25.75,False
37.5,18.45,False
41.3,41.75,False
44.0,44.15,True
33.6,24.25,False
25.0,41.75,False
25.0,41.15,True
25.0,41.75,True
37.3,25.35,False
20.8,25.75,True
25.0,41.75,True
37.5,16.25,False
9.6,20.65,True
39.9,43.05,False
14.0,26.35,False
48.7,33.25,False
35.3,38.65,False
38.1,19.75,False
36.9,20.95,False
41.6,37.85,False
25.0,41.75,True
29.1,33.45,True
34.3,33.25,True
45.5,28.25,False
10.6,35.35,True
6.5,36.15,False
15.5,24.45,True
48.5,41.35,False
16.2,38.45,False
11.7,28.25,True
25.0,41.75,True
25.0,41.75,True
25.0,41.75,True
44.8,28.85,False
12.9,43.15,False
40.5,31.25,False
24.1,21.25,False
20.0,36.95,False
3.5,27.45,True
24.1,35.15,True
37.5,19.85,False
47.6,39.25,False
25.0,41.75,True
39.7,30.95,True
9.1,38.45,True
42.4,39.75,False
6.600000000000001,25.75,False
7.100000000000001,22.75,False
13.1,36.25,True
25.0,41.75,True
11.4,30.55,True
21.8,35.75,True
40.7,23.05,False
35.0,33.55,True
31.8,15.75,True
14.7,17.55,False
25.0,41.75,True
39.4,35.15,False
10.1,22.55,False
25.0,41.75,True
21.1,25.75,False
26.1,41.45,True
41.3,37.25,True
25.0,41.75,False
16.2,26.45,True
44.0,33.95,False
25.0,41.75,True
16.2,21.95,False
25.0,41.75,False
20.7,16.75,True
9.3,42.25,False
25.0,41.75,False
11.4,21.15,False
39.7,29.85,True
18.8,29.85,True
25.0,41.75,False
17.5,38.15,True
25.0,41.75,True
29.8,24.25,False
22.9,26.15,False
35.8,31.05,False
8.399999999999999,41.65,False
25.0,41.75,True
12.0,40.35,False
42.5,34.55,True
24.6,22.35,True
10.6,32.05,True
25.0,41.75,False
4.899999999999999,25.75,False
1.3999999999999986,42.35,False
12.6,20.15,True
25.0,41.75,False
47.1,41.05,True
24.4,26.15,False
42.4,37.55,False
11.0,33.75,False
38.4,34.85,True
41.8,35.95,False
22.6,35.15,True
25.8,38.75,False
12.1,25.25,False
39.4,33.45,False
7.699999999999999,24.45,True
13.2,19.75,True
24.0,28.25,True
22.4,34.25,False
37.0,31.25,True
25.2,16.85,True
25.0,41.75,True
25.0,41.75,True
25.0,41.75,True
8.5,39.45,True
23.2,24.75,False
25.0,41.75,False
42.7,20.85,True
44.8,42.35,False
26.3,16.35,False
46.5,28.35,True
35.3,25.85,False
9.3,18.15,False
25.0,41.75,True
38.0,39.25,True
25.4,40.25,True
43.8,41.65,True
14.5,41.15,True
25.0,41.75,True
27.3,40.85,False
47.3,39.85,True
23.3,40.65,False
25.0,41.75,True
19.4,20.95,True
25.0,41.75,False
25.0,41.75,True
21.6,26.35,False
1.6000000000000014,36.15,False
41.8,33.95,False
25.0,41.75,True
43.2,23.05,False
11.8,35.65,False
22.6,38.95,True
18.0,36.15,False
24.9,41.65,False
6.800000000000001,25.75,False
25.0,41.75,True
32.8,18.15,True
36.9,25.85,True
25.0,41.75,False
25.2,41.65,True
7.699999999999999,38.65,True
25.0,41.75,True
12.3,20.15,True
39.4,28.05,False
13.1,24.75,True
25.0,41.75,False
36.7,33.55,False
18.5,36.75,False
17.5,28.25,False
14.0,15.75,False
25.2,42.25,False
41.1,44.95,False
14.5,39.15,True
25.4,35.15,True
20.5,26.65,True
14.8,33.15,False
10.7,26.35,True
6.600000000000001,40.35,False
16.1,25.35,True
25.0,41.75,False
24.4,26.45,False
10.7,42.05,False
1.6000000000000014,39.85,True
37.3,29.05,False
25.4,37.35,False
9.3,22.05,False
18.1,40.65,True
