x,y,made
24.5,35.15,True
31.3,38.35,False
14.4,18.55,False
10.8,21.35,True
12.4,26.05,True
23.9,40.15,True
22.6,40.05,True
24.5,40.45,True
24.0,40.75,True
15.0,18.65,False
23.6,40.05,True
25.8,41.15,False
25.5,21.35,False
23.8,39.85,False
23.6,39.75,False
24.4,41.15,True
29.0,40.05,False
23.8,41.65,True
25.5,40.05,True
21.9,40.25,False
27.0,41.55,False
25.1,40.95,True
31.3,15.649999999999999,False
28.5,17.45,False
23.7,42.85,False
8.5,20.35,False
31.7,35.35,False
9.5,10.850000000000001,False
26.7,26.25,False
23.7,24.85,False
26.2,32.05,False
9.6,21.45,False
47.9,40.45,True
2.0,39.25,True
8.2,21.95,True
31.9,17.85,True
6.199999999999999,24.55,True
22.7,39.55,True
24.8,41.35,True
24.4,38.75,False
25.4,38.15,False
22.5,32.35,True
39.9,19.95,False
22.0,41.15,True
2.6999999999999993,39.65,False
44.4,26.55,True
19.8,26.25,True
42.1,22.05,False
32.8,36.45,False
28.2,35.05,False
25.1,37.45,True
27.0,41.35,True
26.0,40.75,False
26.7,41.35,True
24.8,26.75,True
25.2,36.35,True
22.3,38.15,True
25.0,42.35,True
20.9,15.350000000000001,True
33.1,27.95,True
24.5,39.55,False
25.9,42.15,True
12.4,28.75,False
26.6,38.05,False
30.8,17.55,False
26.7,27.45,True
24.9,40.35,True
24.4,39.15,True
28.7,20.95,False
44.1,42.05,True
30.5,32.85,False
23.9,40.45,False
45.4,27.25,False
24.1,40.85,True
24.4,40.45,True
25.0,42.35,True
26.4,38.35,False
30.8,33.45,False
34.3,22.95,False
1.6000000000000014,33.55,False
34.6,18.05,False
14.1,18.35,True
24.9,34.95,False
5.5,26.95,False
5.399999999999999,27.15,False
24.1,40.65,False
26.2,42.75,False
26.2,41.25,True
36.2,19.85,True
24.7,37.95,False
25.3,41.15,True
21.6,40.75,False
18.6,21.55,False
24.2,40.45,True
9.4,21.85,True
23.6,40.75,True
32.6,16.95,False
40.0,21.85,False
4.899999999999999,27.75,True
20.7,27.65,False
23.7,40.75,True
47.6,40.25,False
24.8,40.75,True
25.0,41.35,True
7.800000000000001,23.45,False
26.3,41.25,False
25.9,40.65,False
23.9,16.75,False
22.3,25.95,True
25.2,33.35,True
24.8,25.95,True
14.1,42.55,False
35.7,17.35,False
25.0,42.35,True
24.1,41.15,True
48.0,42.05,True
23.6,41.15,True
12.8,19.55,False
24.5,40.65,False
33.7,39.65,False
24.6,4.549999999999997,False
28.6,38.35,False
47.9,30.65,True
26.1,15.25,False
37.8,43.25,True
9.0,42.05,True
36.7,36.15,False
16.6,39.05,True
24.9,41.85,True
11.2,19.65,False
26.9,40.35,True
16.3,24.85,False
25.0,40.25,True
47.0,42.75,False
30.7,31.05,False
42.4,23.95,True
18.5,39.45,False
33.4,41.65,False
41.3,38.35,False
32.1,17.75,False
25.9,38.85,False
27.6,16.15,False
25.4,35.35,True
25.0,42.35,True
24.5,37.25,True
12.7,19.15,True
23.6,41.75,False
41.0,26.85,False
23.8,15.75,False
47.5,31.55,False
39.9,20.65,True
24.7,40.15,True
24.2,40.65,True
46.9,41.15,False
18.0,17.95,True
25.3,41.25,True
29.1,40.65,True
15.4,24.05,False
14.0,32.55,False
15.1,16.95,True
27.7,39.95,True
26.2,38.65,True
41.4,21.65,False
40.5,21.65,False
26.4,40.05,False
23.6,40.05,True
2.1000000000000014,37.75,False
25.7,37.35,False
24.5,30.25,False
13.8,19.25,False
11.8,28.05,True
27.4,17.05,False
